trade_date,SMB_r
2015-12-23,-0.01372687938784234
2015-12-24,0.009898245225735871
2015-12-25,-0.0005216345987123609
2015-12-28,0.002527770086307092
2015-12-29,0.001886647087537299
2015-12-30,0.01237712284062585
2015-12-31,-0.01061541479114312
2016-01-04,0.0009649036642105785
2016-01-05,-0.02176412671293525
2016-01-06,0.0007830464637185175
2016-01-07,-0.0008506323773729285
2016-01-08,-0.01711819546520704
2016-01-11,-0.02694874670393466
2016-01-12,0.006793182832040917
2016-01-13,-0.01260935687714798
2016-01-14,0.01507351716362818
2016-01-15,-0.00829770114072102
2016-01-18,0.01687490158696098
2016-01-19,0.01310981111502985
2016-01-20,0.003238612242555571
2016-01-21,-0.006041064052481053
2016-01-22,0.007582226442357721
2016-01-25,0.003389165994170685
2016-01-26,-0.02051013887513825
